,Name,style,IBU,ABV,Description
652,Intergalactic Warrior,IPA - American,45 IBU,6.3% ABV,"Galaxy and Warrior hops join forces to create a beer with a bitter punch. Big body, bold flavor, with a boost of citrus rind and just a kick of spiciness"
653,Galaxy Dry Hop Pseudo Sue,Pale Ale - American,45 IBU,5.8% ABV,"Forged from the raw elements of the universe, this beer’s hoppy flavor comes from the celestial alignment of both Galaxy and Citra hops. Galaxy dry hopped"
654,Dragon Fandango,Sour - Fruited,10 IBU,4.2% ABV,"This unique kettle sour, blended with Citra hop, dragon fruit, mango and passion fruit puree is fruity and tart with a "
655,Rover Truck,Stout - Oatmeal,35 IBU,6.1% ABV,"Rover Truck rolls up with roasty, almond aromas, hints of dry chocolate and a creamy oatmeal body. This everyday stout is an easy-drinking brew that is"
656,Mosaic Dry Hop Pseudo Sue,Pale Ale - American,45 IBU,5.8% ABV,This double hop pale ale showcases the Citra and mosaic hop for a well balanced beer that is delicate in body with a mild bitterness in the finish. Ferocious
657,Sun Reaper,IPA - Imperial / Double New England / Hazy,50 IBU,7.8% ABV,"Sun Reaper eclipses all others with its medium body and low bitterness. with notes of pineapple, orange and passion fruit flavors up front and a layer"
658,Double Dry Hop King Sue,IPA - Imperial / Double New England / Hazy,50 IBU,7.8% ABV,"Citra hops give King Sue its bold flavors of mango, orange, and pineapple. This double dry-hopped version packs even more flavor into e"
659,Twisted Galaxy,IPA - Imperial / Double,100 IBU,7.8% ABV,"Showcasing the alluring tropical notes of the galaxy hop, twisted galaxy is a juicy double IPA that pushes both citrus and pineapple notes to the foreground"
660,MoZee,IPA - American,45 IBU,6.3% ABV,"Mozee down a new path enjoying an exciting IPA that combines the grapefruit, kiwi & sauvignon blanc grape notes of the Nelson Sauvin® hops with hints"
661,Dolphin Sparkles,IPA - Imperial / Double,30 IBU,7.3% ABV,"Dolphin Sparkles is our collective interpretation and re-imagining of a West Coast IPA. We've kept the malt soft, subtle, and clean in order to create"
662,NugMo,IPA - American,45 IBU,6.7% ABV,"Mosaic, Sabro, Simco, and Amarillo hops join forces to create a bouquet of tropical citrus and pineapple aromas. This bold, hop-forward IPA captivates"
664,M-43 N.E. India Pale Ale,IPA - New England / Hazy,65 IBU,6.8% ABV,"The First release in our “New Orthodox” IPA series, M-43 is designed to accentuate the deep and complex character from the combination of Calypso, Amarillo,"
665,Boss Tweed,IPA - Imperial / Double New England / Hazy,68 IBU,9.3% ABV,"Weighing in at 9.3%, Boss Tweed is a double New England IPA with an aroma of peach, mango, tangerine. A nice pilsner malt backbone with a touch of Vienna"
668,B-43,IPA - Brut,65 IBU,7% ABV,"B-43 uses the same recipe hops as M-43 but no residual sugar, 3g of carbs per pi"
669,Full Earth,IPA - Imperial / Double New England / Hazy,50 IBU,9.1% ABV,"The slightly more sophisticated entry into the New Orthodox Series. On the nose, pine, flowers and citrus. On the tongue, layers of the same. That signature"
670,Greenstone,Pale Ale - New England / Hazy,40 IBU,5.5% ABV,This lighter entry into the New Orthodox Series features a hint of pepper and earth from rye in the grain bill as well as citrus and stone fruit flavors
671,Electron Brown,Brown Ale - Imperial / Double,40 IBU,8.1% ABV,"Named in memory of Ron Brown, our dearly missed engineer/ general problem solver here at Old Nation. This aggressive Double Brown ale is fresh ground"
672,DDH M-43,IPA - New England / Hazy,65 IBU,6.8% ABV,Double dry-hop
673,ME-MI Triple NEIPA,IPA - Triple New England / Hazy,50 IBU,10.3% ABV,"Our collaboration with our friends at Foundation Brewing in Maine! No pineapples were harmed in the making of this beer. Pilsner, Oats, and Rice lay the"
674,70+,IPA - American,72 IBU,6.8% ABV,"With the introduction of 70+ West Coast IPA (ABV 6.8%), Old Nation brings a classic, straight down the middle pilsner malt bill with a more classic aggressive"
680,Shandy,Shandy / Radler,7 IBU,4.8% ABV,"Old Nation Shandy is a combination of our classic Helles Lager and lemonade from Guernsey Farms. Our companies teamed up to make a refreshing, simple"
681,Helles Lager,Lager - Helles,18 IBU,5.5% ABV,"Soft, subtle, and so clean you can taste the field the barley grew in. Less is more in these lagers, and balance is the goal. The yeast, time, and talent"
682,Dry Honey Saison - Woodshed Pilot Series,Farmhouse Ale - Saison,20 IBU,7.1% ABV,"French style summer ale with spicy phenols from the yeast and a dry, ho"
683,Sanders Chocolate Stout,Stout - Milk / Sweet,13 IBU,4.8% ABV,Chocolate meets beer. Need we say more? Collaboration beer with Sanders Chocolate Company from D
686,The German Hobo,Malt Liquor,58 IBU,11.9% ABV,"There's good evidence that Malt Liquor, based in the German Lager tradition, was first made in Ionia, MI around 1937. The German and American trained"
687,Pret Wit,Wheat Beer - Witbier / Blanche,18 IBU,5.5% ABV,"Pret Wit has a strong backbone of wheat and oat malts, which give body and fullness to the light citrus notes of coriander and bitter orange peel. The"
689,Bomb!,Stout - Imperial / Double Coffee,65 IBU,13% ABV,"Bomb! is an imperial stout aged on Nordaggio's espresso beans, chocolate, vanilla beans, and ancho chile peppers. All the flavors meld to create a truly"
690,Christmas Bomb!,Stout - Imperial / Double,65 IBU,13% ABV,"The Bomb! that we all know and love, with the addition of Christmas spices – cinnamon, ginger, "
691,Birthday Bomb!,Stout - Imperial / Double,65 IBU,13% ABV,"Imperial stout aged on coffee, cacao nibs, vanilla beans and chile peppers. Finished with car"
693,Phantasmagoria,IPA - Imperial / Double,70 IBU,8% ABV,"Phantasmagoria is an IPA that is low in malt flavors, but high in hops. We brew this beer as a nod to the big hoppy beers of the west coast. We use loads"
694,Standard,Farmhouse Ale - Saison,25 IBU,5.6% ABV,"Prairie Standard is our everyday beer. Its a light, crisp saison with a hoppy finish. This beer is dry hopped 1lb per bbl with Motueka hops. A lovely"
697,Funky Gold Mosaic,Sour - Other,18 IBU,5.8% ABV,Dry hoppe
699,Apple Brandy Barrel Noir,Stout - Imperial / Double Oatmeal,70 IBU,12% ABV,Apple Brandy Barre
700,Pirate Bomb!,Stout - Imperial / Double,65 IBU,15% ABV,"Aged in rum barrels w/ coffee, cacao nibs, vanilla beans and chi"
701,Vanilla Noir,Stout - Imperial / Double Oatmeal,60 IBU,13.7% ABV,"Vanilla Noir is Prairie Noir aged on organic, fair trade vanilla beans, and let’s just say it takes a lot of beans! The vanilla flavor compliments the"
704,Birra Farmhouse Ale,Farmhouse Ale - Saison,18 IBU,4.5% ABV,"Birra is a light, sessionable farmhouse ale. It is crisp with notes of black pepper and orange and goes perfectly"
707,Prairie Hop,Farmhouse Ale - Saison,40 IBU,8% ABV,"Prairie Hop is our hop driven saison. This beer is packed with Simcoe and Citra hops. Notes of peach, mango, and tangerine can be found in the flavor"
708,Pe-Kan,Stout - Imperial / Double,60 IBU,11.5% ABV,Imperial Stout brewed with copious amounts of vanill
709,Bourbon Paradise,Stout - Imperial / Double,9 IBU,15.9% ABV,Imperial Stout Aged in Bourbon Barrels with Coconut 
710,'Merica,Farmhouse Ale - Saison,30 IBU,7.5% ABV,"‘Merica is a single malt, single hop farmhouse ale. It’s brewed with floor malted pilsner and 3lbs per bbl Nelson Sauvin hops. The beer is conditioned"
711,Pink Guava Funk,Sour - Fruited,30 IBU,6.3% ABV,Kettle Sour with Brett and
712,Pirate Noir,Stout - Imperial / Double Oatmeal,60 IBU,12% ABV,A big Imperial Stout aged in Jamaican R
713,Consider Yourself Hugged,Stout - Imperial / Double Coffee,50 IBU,11.9% ABV,Imperial Stout with Peanut Butter Roas
714,Fiddlehead IPA,IPA - American,53 IBU,6.2% ABV,"Our flagship IPA, A hop forward American IPA with mellow bitterness. Citrusy and Dank. Wel"
715,Second Fiddle,IPA - Imperial / Double,80 IBU,8.2% ABV,"Extensively dry-hopped double IPA. Second Fiddle is second in name only. It’s big, juicy and aromatic. Citrus, Tro"
716,Mastermind,IPA - Imperial / Double,90 IBU,8.1% ABV,American Double IPA with tropical fruit notes. Straw colored with a hazy glow. Pineapple and Cantaloupe are dominant characteristics. This beer finishes
717,Hodad,Porter - Other,30 IBU,5.5% ABV,"Porter brewed with house toasted coconut flakes, cacao nibs, vanilla bean a"
718,Rarefied Air,Pale Ale - American,35 IBU,5% ABV,"Refreshing, Lightly Tart and Hazy Hoppy Pale Ale with Bright Citrus Notes and an Herbal "
719,Tejas Marrón,Brown Ale - Imperial / Double,75 IBU,8% ABV,"Citrus, chocolate & burnt sugar notes meld together in this big, hoppy brown ale brewed with b"
720,Brett On The Dancefloor,Wild Ale - American,45 IBU,5.1% ABV,100% Brettanomyce
722,Golden Grillz,Golden Ale,25 IBU,5.2% ABV,"Brewed with a pilsner malt base, our American Golden Ale is light and crisp featuring earthy and he"
723,New New Rarified Air,Pale Ale - American,50 IBU,5% ABV,Hop forward American style pale ale brewe
727,Cowboy Neal,IPA - Imperial / Double,70 IBU,8.1% ABV,American Double Wheat Ind
739,Sea Hag IPA,IPA - American,65 IBU,6.2% ABV,A ghostly apparition reportedly skirts the shores of New Haven harbor; a whispy widow eternally searching for her lost-at-sea husband. It is truly a sad
740,G-Bot,IPA - Imperial / Double,85 IBU,8.8% ABV,The beer. The 'Bot. The legend. This sought-after Double IPA packs in a whole mess of hops in order to churn out a bombastic citrus taste full of orange
741,Fuzzy Baby Ducks,IPA - New England / Hazy,60 IBU,6.2% ABV,"Yup... we're the ones who make this. A member of our single hopped beer club, this IPA is both brewed and dry hopped with nothing but Citra hops... that's"
742,Coriolis,IPA - Imperial / Double,80 IBU,8.2% ABV,"One of our ""single hopped"" beers, this Double IPA gets brewed with only the Nelson Sauvin hop grown solely in New Zealand. A bright-tasting beer that"
743,668 The Neighbor of the Beast,Belgian Strong Golden Ale,30 IBU,7.8% ABV,"The La Chouffe Belgian yeast used in this brew leaves your taste buds wondering what's up. A ""gateway beer"" that is a fine first step into Belgian brews,"
744,Supernaut IPA,IPA - American,65 IBU,5.8% ABV,"If there were an astronaut that was exceptional, they would be quite super, correct? Perhaps even a ""Supernaut"", yes? Maybe even find inspiration in an"
745,Double Fuzzy Baby Ducks,IPA - Imperial / Double New England / Hazy,80 IBU,8.2% ABV,"Bigger is better, right? We figured we'd put that adage to the test. So, we decided to take our FBD IPA and make an ""Imperial"" version of it and that's"
746,Imperial Stout Trooper,Stout - Imperial / Double,40 IBU,9.5% ABV,"Nearly a dozen types of malts and grains go into this FORCE-full, American Imperial Stout. Hints of coffee, tastes of dark fruit, and a subtle chocolate"
747,Locust Reign,IPA - Imperial / Double,82 IBU,8.2% ABV,"This is a monster of a Double. Big, hearty, and it's got girth. Huge tropical fruit taste and aroma converge in this beer with an abundance of Galaxy"
748,Galaxy Pale Ale,Pale Ale - American,45 IBU,4.8% ABV,"Why look. It's another member of our single-hopped beer collective. This beer is a classic, lower alcohol, American Pale Ale brewed with nothing but Galaxy"
749,Ghost Pigeon Porter,Porter - American,40 IBU,5.8% ABV,"The cooler, Autumn months are welcomed with this American style Porter brewed up with seven kinds of malt. Dark, chocolate-y, roast-y, with a graham cracker"
750,Elm City Pilsner,Pilsner - German,40 IBU,5% ABV,"A craft brewed version of a traditional German style pilsner that we brew with all german malt and noble hops. Clean, D"
751,Dose DIPA,IPA - Imperial / Double,85 IBU,8.2% ABV,"Drop this fruit bomb on your tongue and enjoy the explosive tropical vacation tastes! No, seriously. Dose is trip-tastic journey into DIPA-vile and you"
752,Kewl Beans,Stout - Oatmeal,25 IBU,6% ABV,"The flaked oats added to the eight malts and grains in this brew add a creamy, near sweetness that cuts the sharpness of the coffee without eliminating"
753,The Ocho IPA,IPA - American,65 IBU,6.8% ABV,"This IPA has all of the Ekunot hops right up front, banging from the first sip. Ekunot is a newly created hop that has lots of pine, dark fruit, and a"
754,Coffee Breath,Stout - Imperial / Double Milk,30 IBU,8.4% ABV,"This Imperial Coffee Oat Milk Stout is dang huge in name, taste, as well as ingredients. There's five different roasts of malt in here along with a smattering"
755,Weiss Trash Culture,Sour - Berliner Weisse,8 IBU,3.4% ABV,"A not-often seen style here, our take a traditional Berliner Weiss (or ""wheat"") sports a clean, tightly sour taste that is achieved by using a Lactobacillus"
757,Gold Stock Ale,Golden Ale,55 IBU,6.5% ABV,A truly unique beer here. A German style pale ale brewed up during colder months with Noble hops and some American hops tossed in for good measure. But
758,Motueka Ma-uke,Pale Ale - American,55 IBU,5.3% ABV,This American-styled Pale uses an abundance of the Motueka (Moe-Too-A-Kah) hops from New Zealand which gives it an earthy/grassy hint mixed with a heavy
759,Scrumtrulescent,Farmhouse Ale - Saison,30 IBU,5.6% ABV,"Styled after the Saisons that are prevalent in the farmhouses of the Belgian countryside, this spunky and slightly fruity, little dandy has a hint of"
760,Schnitzengiggles,Festbier,20 IBU,5.6% ABV,"A German style festbier brewed for the Octoberfest season. A clean refreshing malty flavorbuilt around toasted bread, soft sweetness and a light hop characte"
762,Attack of Duckzilla - Triple Fuzzy,IPA - Triple New England / Hazy,60 IBU,10.5% ABV,"This monster of an IPA leaves you wondering why you feel so warm and Fuzzy...oh yeah, it's 10.5%. Big notes of ripe citrus and mango bombard your face"
763,Stegosaurus,IPA - Imperial / Double,45 IBU,8.2% ABV,"Introducing Stegosaurus! Our latest and greatest DIPA and a radical lizard from the late Jurassic period, this bad boy is 8.2% dry hopped with Citra,"
764,Lush IPA,IPA - American,80 IBU,7% ABV,"We bring this tropical treat to you as a reminder of Spring’s coming, its rebirth and promise of sunny days forever. Lush is made with a hand-selected"
765,Interurban IPA,IPA - American,80 IBU,6.2% ABV,"Named after Fremont’s most famous outdoor sculpture, Waiting for the Interurban, Interurban India Pale Ale offers the adventurous beer lover a warm embrace"
766,Dark Star,Stout - Imperial / Double Oatmeal,50 IBU,8% ABV,"Roasty, chocolate tones swirled with oatmeal smoothness and dark as the night. The Dark Star crashes, pouring its light into ashes, so follow as the Lady"
767,Summer Ale,Pale Ale - American,45 IBU,5.2% ABV,"Previously known as Solstice Ale. Tangerine flower in a glass, endless days distilled into nectar of barley and hops. One grain, one hop. Simplicity..."
769,Head Full of Dynomite,IPA - New England / Hazy,85 IBU,6.8% ABV,"Head Full of Dynomite (HFOD) is an ongoing series of hazy IPAs, each one different from the one before. “Friends bring happiness into your life, best"
770,Universale Pale,Pale Ale - American,35 IBU,5.6% ABV,"Fremont is the self-proclaimed “Center of the Universe” and Universale, our flagship product, honors the namesake of our unique location. Universale Pale"
771,The Brother Imperial IPA,IPA - Imperial / Double,100 IBU,8.5% ABV,"The Brother is a beast. Brewed with twice as much barley and 1/2 pound of hops per keg, the Brother will sit on your palette and beat you down. And you’ll"
772,The Sister Imperial IPA,IPA - Imperial / Double,80 IBU,8.5% ABV,"Family always comes first. Just when you thought that your poor tongue couldn't stand any more humulus lupulus, The Sister comes home to prove you wrong."
773,Bonfire Ale,Brown Ale - American,40 IBU,6% ABV,"Bonfire Ale steals from the winter fires its gift of dark barley and gentle hops to provide you, beer drinker, with this delightful winter treat. Fremont"
774,Cowiche Canyon Fresh Hop Ale,Pale Ale - American,50 IBU,6% ABV,Cowiche Canyon Fresh Hop Ale is brewed from select organic hops grown in the Cowiche Canyon of the Yakima Valley which are harvested and placed into our
776,The Rusty Nail,Stout - Imperial / Double Oatmeal,50 IBU,13.2% ABV,"The Rusty Nail begins life as The First Nail, an oatmeal stout of epic proportions with brewer’s licorice, smoked barley, and pale malt and aged on cinnamon"
777,Mod Pod,IPA - American,60 IBU,7% ABV,"TROPICAL FRUIT, CANDIED ORANGE, TANGERINE, AND AN ECHO OF MALT SWEETNESS Mod Pod IPA honors our three pods of Southern Resident Orca whales living full-time"
778,Session Pale Ale,IPA - Session,50 IBU,4.5% ABV,This session and is made with Citra and Simcoe hops grown in Washington's Yakima Valley which will enlighten your mind and make you a smarter and better
779,Space Danger!,IPA - American,61 IBU,7% ABV,"2-Row Pale malt, Rolled Oats, and White Wheat with Simcoe, Sabro, and Centennial hops make the base for Space D"
780,Golden Pilsner,Pilsner - Czech,20 IBU,4.5% ABV,"Bohemian Pilsner Malt, White Wheat, and Acidulated Malt with Czech Saaz hops make up the classic Czech-style lager Gold"
781,Field to Ferment Fresh Hop Pale,Pale Ale - American,50 IBU,6% ABV,Fresh H
782,77 Fremont Select,IPA - Session,60 IBU,4% ABV,"A crisp and refreshing spring wunderbeer, 77 Select is Fire Brewed in the pits of Fremont Brewing to achieve its rarefied Session IPA status. With this"
784,Winter Ale,Winter Ale,47 IBU,8% ABV,"This is a tasty Winter Ale to snuggle up to, released for the winter months when snow blankets the terrain of the mind and the body craves warmth and,"
785,Mountain Daisy,IPA - American,65 IBU,7% ABV,"Spring is the season of Renewal and Invention, and that’s cool with Fremont, so we decided to offer not one, but three different beers for our Spring"
786,Brew 5000 (2021),Barleywine - English,30 IBU,12.2% ABV,"English-Style Barleywine Ale aged in Bourbon Barrels Fremont Brewing began as a dream in 2008. Years later, our dream has come true in each and every"
788,Kentucky Dark Star,Stout - Imperial / Double Oatmeal,50 IBU,13.1% ABV,Our Imperial Oatmeal Stout aged in 15 year old single use Kentucky Bourbon Barrels. The roasted and chocolate malts compliment the smooth oats to bring
789,Disco Ninja,IPA - New England / Hazy,40 IBU,7% ABV,It’s a simple universal fact that ninjas are badass. You know what else is badass? Revision beer. Our buddies at Shoe Tree Brewing kicked around ideas
790,Revision IPA,IPA - American,50 IBU,6.5% ABV,"Low impact bitterness, high impact aroma and flavor. Simcoe lays the hop foundation for this extremely delicious, flavorful and quaffable American India"
791,Dr. Lupulin 3x,IPA - Triple,133 IBU,11.3% ABV,"The art and science of awesome. Somewhat of an anomaly, Doctor Lupulin is brewed with loads of hops but is not too bitter. A high ABV brew that is easy"
792,Reno As Fuck,IPA - Imperial / Double New England / Hazy,23 IBU,8.4% ABV,"Imperial NE-Style IPA with Simcoe, Mosaic and Citra hops. Embracing the no-holds-barred, pure, dirty, clean, crass culture of the greatest place in the"
793,DIPA,IPA - Imperial / Double,75 IBU,8% ABV,"This Double India Pale Ale is late-hopped with Simcoe® and Mosaic® hops, creating massive citrus and pine aroma with resiny notes of orange, tangelo,"
794,Smoke and Mirrors,IPA - Imperial / Double New England / Hazy,30 IBU,8% ABV,"Citra, Mosaic, and Amarillo hops form a power trio of tastiness in this double dose of liquid goodness. No illusions here, see with your mind and flavor"
795,Glitter Moon,IPA - Imperial / Double New England / Hazy,40 IBU,8.5% ABV,The bulk of the hop aroma and flavor in this brew come from the land down under. Galaxy and Vic Secret hops from Australia exude pineapple and passionfruit
796,Sparkle Muffin,IPA - New England / Hazy,30 IBU,7% ABV,"This fruit-forward single IPA features deep flavors of citrus from the hops yet is easy drinking. Don't wait until later, enjoy "
797,Social Fermentation,IPA - New England / Hazy,35 IBU,6.5% ABV,"It’s fun to party with your friends. The gang’s all here in this highly drinkable Northeast IPA. Citra and Mosaic of course, and our buddy Amarillo, life"
798,Hazy Life,IPA - Imperial / Double New England / Hazy,42 IBU,7.75% ABV,"This is the good life, full of friends, great experiences, and super tasty haze. Highlighting Mosaic and Cashmere hops, this brew delivers notes of passionfruit,"
799,Planet Lovetron,IPA - New England / Hazy,25 IBU,6.5% ABV,"Hitch a free ride onboard the Mothership Connection to Planet Lovetron. Ease your mind and soul with bright citrus and stonefruit flavors of Amarillo,"
800,Citra Slam,IPA - American,50 IBU,6.5% ABV,"Creating a flavor crater of awesomeness, this West Coast IPA hopped exclusively with the one and only Citra hop is built for enjoyment. Tropically sweet"
801,Battle of the Lords,IPA - Imperial / Double New England / Hazy,45 IBU,8.5% ABV,"To become your best self you may need to vanquish your old self. You look at your reflection in the mirror, smash the mirror and walk forward. A hefty"
802,Tahoe Haze,IPA - New England / Hazy,30 IBU,6.5% ABV,66.66% Citra and 33.33% Mosaic hops. Waves of orange and tangerine flavor hit the lake shore like sweet necta
803,The Bruff,IPA - Imperial / Double New England / Hazy,35 IBU,8% ABV,"We found an old mechanical hop picking machine in the fields of England, in the shadow of Stonehenge. With a lot of work, a modicum of sweat and a little"
804,What What,IPA - Imperial / Double,85 IBU,9.1% ABV,"Can I get a What What? What? Yep, you heard right. A collection of C hops and a dash of Equinox create waves of hop flavor and perhaps a bit of a smackdown"
805,Hops In A Can,IPA - Triple New England / Hazy,75 IBU,10.5% ABV,"NE-Style Hazy Triple IPA. Pop a top off a can of hops, the waft of aromatic intensity is inevitable. Citra, Simcoe, Amarillo and Mosaic hops deliver sticky,"
806,Pour Decisions,IPA - Triple New England / Hazy,67 IBU,11% ABV,"It's late. Probably close to 3:00 AM, but your phone is for making questionable calls and looking at funny videos, not for checking time. Yeah, one more"
807,Lord Lupulin,IPA - New England / Hazy,32 IBU,6.5% ABV,"Introducing the high priest of hops , the hero of humulus lupulus, the sultan of strig, the brahma of bracteole…Here comes Lord Lupulin! Featuring our"
808,Leafy Greens,IPA - American,55 IBU,7.25% ABV,"Dig the dank. Savor the stank. Leafy Greens presents an increase by orders of magnitude in dankness. The aroma of certain hops, particularly CTZ, has"
809,Mindful Fermentation,IPA - Imperial / Double New England / Hazy,36 IBU,8.5% ABV,"We think about beer, a lot. Synapses firing, thoughts bubbling, ideas percolating in an ever-evolving quest to make somethin' super tasty. This beer was"
810,Distance Haze,IPA - Imperial / Double New England / Hazy,40 IBU,8% ABV,"Yea, though I walk through the valley of the shadow of dank, I will fear no haze, for hops art with me. Thy flavor and thy aroma, they comfort me. A vision"
811,Staff of Life,IPA - Imperial / Double New England / Hazy,38 IBU,8% ABV,"We all need a little help on the way, some support while briefly traveling through this world. More than a walking stick, the Staff of Life lifts your"
812,Playafication,IPA - New England / Hazy,42 IBU,6% ABV,Out there. Art festival? Self-expression fully realized? Dance party? Giving/sharing economy? Blinky light madness? Alkaline dust-covered humorous mayhem?
813,Planetary Fog,IPA - Imperial / Double New England / Hazy,23 IBU,7.5% ABV,"(Double IPA - NE Style) A big bang of Amarillo, Mosaic, Citra, and Galaxy hops in every vessel. This beer’s gravitational force thrusts pizza and beer"
814,Mystic Mama,IPA - American,80 IBU,7% ABV,Our West-Coast inspired India Pale ale offers lots of flavor and aroma without over-powering the senses. A complex blend of 5 hops lend a firm bitterness
816,Chomolungma,Brown Ale - American,33 IBU,6.5% ABV,"This brown ale was brewed to commemorate the 2007 Lungevity Everest Expedition. The people of Tibet call Mt. Everest “Chomolungma,” and this exceptional"
819,Oil of Aphrodite,Stout - Imperial / Double,41 IBU,10% ABV,"Oil of Aphrodite is an American double stout brewed with locally harvested black walnuts and Belgian candied syrup. English, German, American, and Belgian"
821,Oro Negro,Stout - Imperial / Double,65 IBU,10% ABV,"Oro Negro is a dynamic beer brimming with layers of complexity and character; our cherished Oil of Aphrodite infused with cacao nibs, vanilla beans, oak"
825,Vanilla Coffee Bourbon Barrel Dark Apparition,Stout - Russian Imperial,30 IBU,11.3% ABV,"Seven malts were used to create deep flavors of coffee, chocolate, caramel, and molasses. A hint of bitterness and herbal character from carefully selected"
828,Bourbon Barrel Oil of Aphrodite,Stout - Imperial / Double,65 IBU,12.1% ABV,"Oil of Aphrodite is an American double stout brewed with locally harvested black walnuts and Belgian candied syrup. English, German, American, and Belgian"
833,Mandala Citra,IPA - Imperial / Double,110 IBU,9% ABV,"Designed to highlight single hop varietals, this Mandala features Citra hops. Citra exudes notes of mango, orange sherbert, and peach. The flavor follows"
837,Wood Ya Honey,Wheat Beer - Wheat Wine,70 IBU,13% ABV,"Wood Ya Honey is a wheat wine style ale brewed with generous amounts of local wild flower honey. After aging in bourbon barrels for one year, this beer"
839,Gose,Sour - Traditional Gose,5 IBU,4% ABV,"Our interpretation of the traditional German-style sour wheat beer, brewed with coriander and grey sea salt. Sour, salty,"
840,IPA,IPA - American,35 IBU,6.8% ABV,"Our flagship American IPA. Hopped with Amarillo, Centennial, Cascade, "
841,Mexican Cake,Stout - Imperial / Double,25 IBU,10.5% ABV,"Imperial stout w/ cocoa nibs, vanilla beans, cinnamon, and habane"
842,One Claw,Pale Ale - American,30 IBU,5.5% ABV,Zesty and tropical pale ale brewed with a touch of malted rye and 
843,Key Lime Pie Gose,Sour - Fruited Gose,10 IBU,4% ABV,Our classic Gose infused with the delicious flavors of ke
844,White Thai,Wheat Beer - Witbier / Blanche,16 IBU,5% ABV,Southeast-Asian inspired witbier lightly spiced with ginger and 
845,Two Claw,IPA - New England / Hazy,30 IBU,7% ABV,"Juicy IPA hopped with Citra, Azacca, and"
846,Dark Helmet,Schwarzbier,20 IBU,6% ABV,German-style black lager with a ludicrously smooth 
847,Three Claw,IPA - Imperial / Double New England / Hazy,25 IBU,8.5% ABV,"Hazy NE-style double IPA dry hopped with over 5 lbs/bbl of Azacca, El Dorado,"
848,Lemon Cucumber Gose,Sour - Fruited Gose,5 IBU,4% ABV,Our classic Gose infused with lemon and cucumber. Zesty and 
849,Siberian Black Magic Panther,Stout - Imperial / Double,30 IBU,12% ABV,This beer is as hairy as a Siberian... or as a panther. And you better believe it because it gets the black magic from mountains of roasted malts and
851,Citrus Redacted,IPA - Imperial / Double,35 IBU,8.5% ABV,A sneaky double IPA brewed with tangerine and dry-hopped with 6 lbs/bbl of juicy hops. Prominent notes of orange & tangerine supported by layers of tropical
852,8th Anniversary Pecan Cookie Stout,Stout - Imperial / Double,20 IBU,9% ABV,"Imperial stout with pecans, winter spices a"
853,Zoose Joose,Sour - Fruited,5 IBU,4% ABV,"Ambrosia inspired sour ale with tangerine, pineapple, cherry, coconut, lactose and marshmallows. Collaboration with Angry Cha"
854,Rinse/Repeat Motueka Wakatu Double Dry Hopped,IPA - New England / Hazy,25 IBU,7% ABV,Hazy NEIPA double dry hopped with Motueka 
855,It's Tiki Time!,Sour - Fruited,5 IBU,5% ABV,"Get your freaky tiki on with this tropical spiced pineapple, passionfruit, and guava smoothie sour. IT IS TI"
856,Rinse/Repeat Amarillo Citra El Dorado,IPA - New England / Hazy,25 IBU,7% ABV,"Hazy NEIPA hopped with Amarillo, Citra, and"
857,Rinse/Repeat Galaxy,IPA - New England / Hazy,25 IBU,7% ABV,Hazy NEIPA hopped w
858,Pineapple Shake IPA,IPA - Milkshake,25 IBU,7% ABV,"Milkshake IPA brewed with pineapple, vanilla, and "
859,Santa Claw,IPA - New England / Hazy,25 IBU,7% ABV,Hazy h
860,Key Lime Pi,Sour - Fruited,5 IBU,5% ABV,"Key Lime Pi is a pastry sour inspired by the ratio of the circumference of the best dessert (key lime pie, obviously) to the diameter of that same pie."
861,MAXIMUM FLORIDA,Sour - Fruited,5 IBU,6% ABV,"Super fruited sour with dragonfruit, passionfruit, mango, pineapple, pink guava, key lime, tangerine, toasted coconut, marshmallows, and milk sugar. Lets."
862,Peanut Butter Shake IPA,IPA - Milkshake,25 IBU,7% ABV,"Milkshake IPA made with lactose, vanilla, and pea"
863,Strawberry Rhubarb Pie Gose,Sour - Fruited Gose,5 IBU,4.5% ABV,"Gose brewed with strawberry, rhubarb, vanilla, "
864,Tropicália,IPA - American,65 IBU,6.6% ABV,"Balanced, soft, and juicy. Hopped with Citra, Centennial, "
866,Cosmik Debris,IPA - Imperial / Double,80 IBU,8% ABV,"Cosmik Debris is an 8.0% ABV Double IPA featuring Simcoe, Strata, Mosaic, Cascade, and Chinook hops. Intensely hopped, this Double IPA presents a mind-blowing"
868,Automatic,Pale Ale - American,60 IBU,5.2% ABV,American Pale Ale. Mosaic and Cr
869,Bibo,Pilsner - Other,25 IBU,4.9% ABV,"Bibo (pronounced bee-bo) is a true pilsner that has a pronounced continental hop flavor and aroma. Hopped with Czech Saaz, US Sterling, and Huell Melon"
870,Reclaimed Rye,Rye Beer,25 IBU,5.5% ABV,Reclaimed Rye (5.5%) is a uniquely complex and full-flavored Amber Ale aged on French oak. Our French oak aging process combined with malted and flaked
872,Tritonia With Cucumber & Lime,Sour - Fruited Gose,5 IBU,4.5% ABV,"Tritonia is a 4.5% ABV gently tart fruited Gose brewed with cucumber, lime, sea salt, coriander, and our house blend of lactobacillus. Our take on this"
874,Classic City Lager,Lager - Pale,20 IBU,4.2% ABV,Goo
