,IBU,ABV,Description,type,SRM
484,70,7.5,"Bold, resinous and bursting with bright grapefruit aroma, this IPA is a tribute to the decades of hard work by conservationists to restore the James River as a bounty of vibrant aquatic life, eco-friendly recreational activity, and in our case, fresh brewing water. These efforts have culminated recently with the symbolic return of the endangered Atlantic sturgeon, a prehistoric, yet majestic behemoth of a fish, spotted as far up the James River as the fall line in Richmond. Your purchase of this beer supports the James River Association. Thank you for being a part of The Great Return",0,7
498,30,8.5,"Hardywood Hopkeeper is brewed with Virginia-grown pale malt from Copper Fox Distillery in Williamsburg. Our Double IPA is hop-forward and approachable with a proprietary blend of hops lending lush notes of pineapple, fresh orange zest and citrus fruit. Hopkeeper is bright and juicy up front, with a touch of honey added for a crisp, dry finish",0,10
500,10,7.0,"Smooth, bright, and super juicy, Tropication is an exotic escape from the daily grind. This mouthwatering India pale ale features Centennial, Citra, Mosaic, and Hallertau Blanc hops, lending a juicy drinkability to this full bodied IPA",0,11
504,80,9.4,"Hardywood Bourbon DIPA is hopped with a heavy dose of Columbus, Cascade and Summit hops, fermented with an abbey ale yeast that imparts some subtle tropical fruit and peppery notes and conditioned twelve weeks in freshly emptied Virginia bourbon barrels from the A. Smith Bowman Distillery, where earthy, vanilla, toffee and bourbon notes lend an exquisite mellowness to Bourbon DIPA",0,7
506,57,6.7,"MonumentalÃÂ® IPA has flavours of citrus and pine resin and floral aromas combined with a malty caramel background. This IPA shows a delicious, yet elusive balance between hop bitterness and malt flavours. We believe that MonumentalÃÂ® IPA is a great example of a complex and balanced East Coast-style IPA.

GABF 2012 Bronze, 2015 Silver in the English-style IPA category",0,11
510,85,8.9,"Deep golden with subtle orange hues, ManiacalÃÂ® Double IPA perfectly balances hop bitterness, tropical and citrus aromatics, and malt structure. This deceptive Double IPA satisfies the strongest hop cravings, while remaining balanced enough for the DIPA skeptic. Averaging 5 pounds of hops per barrel, ManiacalÃÂ® is dry-hopped with Cashmere, Citra, & El Dorado through our patented HopZookaÃÂ®",0,11
513,55,4.7,"Ways & MeansÃÂ® is a session IPA brewed with rye, pouring golden amber in color with a slight haze. This crisp IPA has notes of citrus and tropical fruit with a soft bready spice, finishing dry and extremely drinkable",0,10
514,60,7.0,"Breathe deep: Integral IPA is all about big, complex hop aromas. A refined, dry body serves as the golden-hued canvas for layers of hop character - think overripe pineapple and melon. You can thank HOPZOOKAÃÂ® and hop-bursting for that",0,7
515,65,7.5,"Inspired by the local legend of the Female Stranger, Long Black VeilÃÂ® is jet black with a tan foam. Piney, citrusy hops burst from the inky depths to mingle with notes of coffee and dark chocolate",0,10
516,60,6.5,"Metro RedÃÂ® is an American Red IPA with notes of sweet citrus and pine in the aroma. This medium bodied brew has flavors of dark caramel and citrus, finishing with a smooth West Coast hoppy bitternes",0,11
526,35,6.8,"Brewed to highlight hop aroma and flavor, Hazy IPA has intense notes of tropical fruit and bright citrus on the nose. Super juicy flavors of mango, peach, and tangerine accompany a crisp malt character. This hazy IPA is soft on the bitterness, finishing clean and smooth all the way around",0,6
527,40,6.2,"Exploring the limits of IPAs, Star SailorÃÂ® White IPA converges two of our favorite styles: a Belgian-style witbier and an American IPA. Enjoy the gravitational balance between refreshing, fruity witbier notes, and bitter, hoppy IPA character",0,7
3087,18,5.2,IPA - White,0,10
14,28,5.6,"A sneakily complex beer, ""TWSS"" exhibits flavors of milk chocolate, dark roasted coffee, caramel, and even a hint of smoke. It is absolutely loaded with flavor for a 5.6% beer, and the inclusion of Lactose takes the edge off of the dry, roasty notes found in a typical stout. The adult chocolate milk shake. . . with this batch being very chocolate heavy! A beer that is notorious for converting Ã¢ÂÂpaleÃ¢ÂÂ beer lovers to the dark side",1,36
16,20,6.0,"A rich, roasted character from the roasted barley with a smooth clean finish, this stout also contains flaked oats to give you that full mouth feel. This Oatmeal Stout is coming in at 6% with only 20 IBU",1,28
31,35,14.3,"The OG of our Pastry Stouts! ""Stoutboiz"", based off our award winning Oatmeal Stout and scaled up to 14%. Conditioned with a big blend of milk and dark chocolates, mounds of toasted organic coconut, and vanilla beans. It's designed to balance drinkability and a heck of a lot of flavor",1,79
33,30,14.5,"2019 Vintage:Imperial Stout aged on Knob Creek Single Barrel Select with Coconut, Nibs, Rostovs Swiss Chocolate Macadamia nut coffee, and Maple syrup. Collaboration with Seek Brewin",1,27
35,30,14.5,Prolyferous is the rebrand name of our base oatmeal milk stout that we have dialed in over the last 2 years. This version was aged in Rye Whiskey barrels and blended with Tahitian and Madagasacar Vanilla beans at a rate of 1.5lb per BBL. Taste of dark and milk chocolate layered in with marshmallow fluff and vanilla frosting. Just sweet enough to give the beer depth without being cloying,1,46
36,40,14.5,"We love Marshmallow Handjee so much we tried to make our own. Knob Creek Bourbon Barrel stout with Nibs, Vanilla Beans, and a ton of Marshmallows. Got Insulin?

Batch 1 (2018",1,33
39,30,10.5,"Imperial Milk Stout with Chocolate, Vanilla, Maple, and Bellator Cinnamon Hazelnut Coffee",1,53
41,90,11.0,"Even the mighty fall to defeat on the Black Forest Moon. Even the greatest technological terror can not stand against its forces. Sweet, dark cherry, chocolate and luscious vanilla, with hints of wood and rum combine to overwhelm the invaders. ...not bad for a little fur ball. Yub yub",1,42
42,90,10.8,"Even the mighty fall to defeat on the Black Forest Moon. Even the greatest technological terror can not stand against its forces. Sweet, dark cherry, chocolate and luscious vanilla combine to overwhelm the invaders. ...not bad for a little fur ball. Yub yub",1,53
44,85,13.8,"A Smoked Imperial Breakfast Stout with coffee, chocolate and maple syrup. Smoke fills the mouth, like standing in front of an open fire on a cold morning...the coffee bursts in with dark chocolate in abundance....next comes the sweet maple syrup, rich and deep...hair of the dog never felt this good..",1,25
45,93,12.8,"A smoked Imperial Stout, with marshmallows and cinder toffee. The perfect accompaniment to bonfire night...or the immolation of your dark side seduced father? You decide",1,31
48,109,14.2,"A return to the dark side. A huge Damson Chocolate Imperial Stout. Black as the Emperor's heart and as seductive as it is evil...remember, you are not a Jedi yet..",1,78
49,101,11.0,"Thick dark chocolate coats the mouth, rich and decadent. Pineapple acidity creeps along the palate refreshing, cleansing, preparing you for the next sip. At this ABV, this is a dangerous situation, best to keep your distance....but donÃ¢ÂÂt look like youÃ¢ÂÂre trying to keep your distance",1,46
50,97,11.4,"A sour cherry, chocolate Imperial Stout....the Imperial Guard are The Emperor's personal protection. Of all the troops, these are the very best of the best.

""...follow me...The Emperor has been expecting you...",1,65
52,102,12.8,"With smoked malt making up the majority of the grain bill, this is a big, smoky beast of a beer! Cacao nibs and maple syrup in the secondary, with a huge amount of Costa Rican, Finca Salaca coffee...this is the perfect ""morning after the night before"" pick-me-up",1,55
54,105,13.7,Damson Chocolate Imperial Russian Stout. Like a damson chocolate gateaux...pudding beer!,1,74
55,85,12.6,"Dark Chocolate & Toasted Coconut Imperial Stout.
1kg of toasted coconut in 20l of beer, which spent 8 weeks in an oak cask sitting on 600g of spiced rum soaked cacao nibs.

...itÃ¢ÂÂs great...but no substitute for a good blaster at your side, kid...

Limited edition batch - only 47 bottles",1,58
56,38,11.5,"Aged 9 months in a Jack Daniels bourbon cask, this beer is not for the timid. Dark malt and complex hops, slightly sour with an enormous bourbon assault!

""Lord Vader, you may begin your landing...",1,63
59,86,13.0,"Thick, luscious dark chocolate giving way to rich, grainy coffee...but wait, whatÃ¢ÂÂs this? The heat is starting to build. Smoky Morita chilli prickles the tongue and tickles the lips. ItÃ¢ÂÂs not that you donÃ¢ÂÂt like chilli...itÃ¢ÂÂs just that chilli doesnÃ¢ÂÂt like you...

Ã¢ÂÂNo. I donÃ¢ÂÂt like you either...",1,28
60,104,12.0,"An Imperial Mocha Stout. Deep mocha aroma. In the mouth...a huge, creamy chocolate hit with a subtle roast coffee undertone. 600g of cacao nibs in the secondary and 250g of Costa Rican coffee cold steeped over night into 18",1,71
61,92,12.4,"Rich, smoky dark chocolate gives way to sweet vanilla, with berry fruit and a hint of sour cherries. This beer will ensure you are quite well protected....if you survive the drinking process...

Exclusively available at Weymouth Craft Beer Festival 17th/18th March with proceeds going to Brain Tumour Support!",1,64
62,72,10.0,Imperial Stout racked onto gin soaked damsons.,1,28
68,40,13.2,Imperial Stout with Coffee and Hazelnuts added,1,45
69,40,14.2,"Imperial Stout with Coconut Candy, Coconut Syrup, Coconut Water, Desiccated Coconut, Shredded Coconut, and Toasted Coconut Added; collaboration with Three Chief",1,55
70,30,12.3,Imperial Stout with Nano Challa Ethiopian Coffee and Hazelnuts Added,1,52
71,40,12.0,"Imperial Stout with Chocolate, Coffee, Hazelnuts, and Vanilla Added",1,79
72,40,12.5,"French Oak Barrel Aged Imperial Stout with 2x Chocolate, 2x Coffee, 2x Hazelnuts, and 2x Vanilla added",1,37
73,40,14.6,Blend of Imperial Stouts Aged in Vanilla Barrels with Bourbon Madagascar Vanilla Caviar and Ugandan Vanilla Beans Added,1,34
74,30,12.0,"Imperial Stout with Chocolate, Coffee, Hazelnuts, Toasted Coconut, and Vanilla Added",1,80
75,40,12.2,"Imperial Stout with Coconut Candy, Coconut Sugar, Desiccated Coconut, Marshmallows, and Muscovado Sugar Added",1,73
76,40,12.2,"Imperial Stout with Coconut Sugar, Coconut Syrup, Marshmallows, Muscovado Sugar, Raw Coconut, and Toasted Coconut Flakes Added",1,68
77,30,14.0,"Imperial Stout with Coffee, Hazelnut, and Maple Syrup Added",1,57
78,30,13.8,"Imperial Stout with Chocolate, Coffee, Graham Crackers, Marshmallows, Mixed Nuts, and Vanilla Bean Added

*Red Label recalled on 9/25/2020 due to suspected infectio",1,27
79,40,12.4,"Imperial Stout with Blueberry, Chocolate, Coconut, Pecans, and Vanilla Added",1,40
80,40,16.4,"Imperial Stout with Weller Bourbon Barrel Aged Geisha Coffee, Bourbon Madagascar Vanilla Bean, and Bourbon Barrel Aged Maple Syrup Added; Collaboration with Run The Jewel",1,26
81,30,12.6,"Imperial Stout with Chocolate, Coffee, Peanut Butter, Peanut Flour, and Vanilla Bean Added",1,26
82,32,14.8,"Imperial Stout with Almonds, Chocolate, Coffee, and Vanilla Added *Black Label recalled on 9/25/2020 due to suspected infection",1,78
109,45,13.0,"Vanilla WAVES is the second edition to the WAVES series. Here we've taken our Waves base beer and added a significant amount Mexican and Ugandan Vanilla to it.

This isnÃ¢ÂÂt your sticky sweet overly adjuncted stout. What youÃ¢ÂÂre getting here is a throw back with a modern twist.

Aroma: Semi-sweet dark chocolate, soft-vanilla, hit of toffee, followed by strong coffee roast.
Taste: (Front Palate) Big dry semi-sweet chocolate followed by an oily vanilla spice that gives way to subtle caramel sweetness. (Mid Palate) You get a break here from the chocolate and get a pithy almost charcoal dryness, earthiness, and minerality. (Back Palate) Here the dark bitter bakers chocolate pops followed by a burst of coffee roast. As it settles you get a wave of bourbon and barrel burn that dissipates quickly but leaves a lingering semi-sweet chocolate oak stave.

The body is oily and viscous, really holding all the flavors together but allowing you to spend time with them individually.

This will not hit the pastry bois vanilla requirements. The Ugandan and Mexican Vanilla donÃ¢ÂÂt give you that classic bakers vanilla. You get earthy and spicy flavors that one might not place as vanilla. Ugandan vanilla tends to impart big chocolate tones and that is most definitely the case here. The Mexican vanilla gives you a rye spice quality that buts up against some traditional vanilla but only slightly",1,65
111,40,14.0,"Deep, rich chocolate flavor with smooth barrel character and low roast. This imperial stout has spent 15 months in a variety of barrels including 1792, WLW, OWA, Buffalo Trace, and Elijah Craig. Blend 1 is straight forward non-adjunct. This beer was brewed with Ellison Brewing + Spirits in East Lansing, MI as part of the BSP membership",1,67
112,50,14.0,"I had the privilege of acquiring a Four Roses single barrel, picked and signed for good measure by the legend Al Young himself. When brewing the base recipe of Dimensions of Time, I filled this barrel and let it sit for 27 months. 

The result is a decadent chocolate/bourbon molten cake. This is very much a traditional stout, which is specifically designed to showcase the barrel more than the leftover unfermented sugars (if you know what I mean). Don't expect pastry flavor or pudding viscosity. This stout is for the bourbon aficionados that enjoy a big-bodied stout with tons of naturally occurring chocolate, vanilla, caramel, leather, and bourbon",1,77
113,20,13.0,"With this iteration of WAVES, we tweaked the recipe a little to pull back on the roast and boost the sweetness. Our addition of real Maple Syrup inline on the way to the pasteurizer allowed it to homogenize and spread equally through the beer so each can has a nice balance. What you get with this iteration is a stout that leans a little more towards pastry without significantly overdoing it. As we experiment with the brewing system weÃ¢ÂÂll continue to tweak this recipe to perfection. Join us on the journey.

The aroma is chocolate, maple, and coffee along with the classic stout notes of grist, toffee, and muted vanilla. The first taste is grain sweetness followed by maple sweetness and when it hits the mid-palate you get waves of maple and coffee roast. Because of the addition of Maple you get a lingering sweetness on the back palate. This beer is chewy and thick. You could probably pour it on pancakes and be happy with the result. ?",1,64
114,43,14.0,"Thick, chewy, sweet Russian Imperial Stout aged in Rye Whiskey Barrels that were filled with Rum, then finished in Maple Syrup Bourbon Barrels. This beer has depth and complexity with notes of vanilla, chocolate, char, and bourbon",1,30
115,60,13.4,"Big, rich, viscous with notes of chocolate batter, vanilla, caramel, whiskey, and oak char. Batch 2 has copious amounts of vanilla beans added... like... a lot",1,42
117,43,14.0,"Thick, chewy, sweet Russian Imperial Stout aged in Rye Whiskey Barrels that were filled with Rum, then finished in Maple Syrup Bourbon Barrels with Madagascar Vanilla Beans. This beer has depth and complexity with notes of vanilla, chocolate, char, and bourbon",1,53
118,53,13.0,Russian Imperial Stout aged in an 11yr Eagle Rare Barrel with Vanilla Beans. This beer was done in collaboration.,1,26
119,60,13.5,American Imperial Stout aged in bourbon barrels with Ceylon Cinnamon.,1,28
120,68,14.4,"Big, rich, viscous with notes of chocolate batter, vanilla, caramel, whiskey, and oak char.",1,39
121,60,13.5,Big stout aged in bourbon barrels with cacao nibs and maple syrup.,1,72
150,20,8.9,"Imperial Coffee Milk Stout brewed with lactose and a careful blend of cacao nibs giving it a dark chocolate, toasty and toasty sweet coffee taste",1,74
154,35,6.1,"Rover Truck rolls up with roasty, almond aromas, hints of dry chocolate and a creamy oatmeal body. This everyday stout is an easy-drinking brew that is perfect for any occasion",1,31
174,13,4.8,"Chocolate meets beer. Need we say more? Collaboration beer with Sanders Chocolate Company from Detroit, MI.",1,67
177,65,13.0,"Bomb! is an imperial stout aged on Nordaggio's espresso beans, chocolate, vanilla beans, and ancho chile peppers. All the flavors meld to create a truly unique beer. The peppers add just the right amount of heat to complement the intense coffee and chocolate flavors",1,35
178,65,13.0,"The Bomb! that we all know and love, with the addition of Christmas spices Ã¢ÂÂ cinnamon, ginger, and nutmeg.",1,70
179,65,13.0,"Imperial stout aged on coffee, cacao nibs, vanilla beans and chile peppers. Finished with caramel sauce.",1,57
183,70,12.0,Apple Brandy Barrel aged Noir,1,80
184,65,15.0,"Aged in rum barrels w/ coffee, cacao nibs, vanilla beans and chilies added.",1,50
185,60,13.7,"Vanilla Noir is Prairie Noir aged on organic, fair trade vanilla beans, and letÃ¢ÂÂs just say it takes a lot of beans! The vanilla flavor compliments the whiskey barrel aging process and adds a delicious layer to the beer",1,49
188,60,11.5,Imperial Stout brewed with copious amounts of vanilla & pecans.,1,74
189,9,15.9,Imperial Stout Aged in Bourbon Barrels with Coconut and Vanilla,1,73
192,60,12.0,A big Imperial Stout aged in Jamaican Rum barrels.,1,55
193,50,11.9,Imperial Stout with Peanut Butter Roasted Coffee.,1,57
211,40,9.5,"Nearly a dozen types of malts and grains go into this FORCE-full, American Imperial Stout. Hints of coffee, tastes of dark fruit, and a subtle chocolate background make this Stout the perfect brew to welcome the Winter months. Brewed solely during the onset of the colder months, this one-time-a-year release will make you come over to the dark side... of beer",1,46
217,25,6.0,"The flaked oats added to the eight malts and grains in this brew add a creamy, near sweetness that cuts the sharpness of the coffee without eliminating the rich, robust flavor. A blend of Ethiopian and Costa Rican coffees from our amigos/amigas at One World Roasters give you that ""morning cup"" flavor in an easy-going pint of beer",1,29
219,30,8.4,"This Imperial Coffee Oat Milk Stout is dang huge in name, taste, as well as ingredients. There's five different roasts of malt in here along with a smattering of roasted barley, a goodly bunch of oats, a pinch of lactose sugar for a rich and creamy mouth feel, and big ole heaping brew of Dominican and Sumatran coffee from our java pals over at One World Roasters. Imagine a fudgey chocolate brownie dipped in a smooth, locally roasted cup of joe",1,54
229,50,8.0,"Roasty, chocolate tones swirled with oatmeal smoothness and dark as the night. The Dark Star crashes, pouring its light into ashes, so follow as the Lady of Velvet recedes in the nights of goodbye. This one is too smooth Ã¢ÂÂ¦ and at 8.0% ABV, dangerous",1,39
237,50,13.2,"The Rusty Nail begins life as The First Nail, an oatmeal stout of epic proportions with brewerÃ¢ÂÂs licorice, smoked barley, and pale malt and aged on cinnamon bark. She becomes the Rusty Nail after spending 15 months in 12-year old bourbon barrels. The Rusty Nail pounds your palate, challenges your perception of all that youÃ¢ÂÂve known of beer, and leaves you wantingÃ¢ÂÂ¦another sip",1,56
247,50,13.1,Our Imperial Oatmeal Stout aged in 15 year old single use Kentucky Bourbon Barrels. The roasted and chocolate malts compliment the smooth oats to bring you a stout delight wrapped in gentle embrace of Bourbon Barrel aged warmth. A touch of sweetness dances in balance with the hops to finish with a wave and then sheÃ¢ÂÂs gone,1,65
275,41,10.0,"Oil of Aphrodite is an American double stout brewed with locally harvested black walnuts and Belgian candied syrup. English, German, American, and Belgian malts are accompanied by Pacific Northwest hops, creating a sweet and rich springboard for deep nuttiness",1,64
276,65,10.0,"Oro Negro is a dynamic beer brimming with layers of complexity and character; our cherished Oil of Aphrodite infused with cacao nibs, vanilla beans, oak staves, habaneros, and cinnamon sticks. A staple at our bottle releases. This refined stout is filled with rich character and a touch of heat",1,76
277,30,11.3,"Seven malts were used to create deep flavors of coffee, chocolate, caramel, and molasses. A hint of bitterness and herbal character from carefully selected European and American hops help support the monolithic maltiness. This special batch was aged in bourbon barrels and conditioned on vanilla beans and whole coffee beans. A truly decadent brew that is intended to be poured into your favorite snifter and given time to warm up from its dark and cool resting place",1,45
278,65,12.1,"Oil of Aphrodite is an American double stout brewed with locally harvested black walnuts and Belgian candied syrup. English, German, American, and Belgian malts are accompanied by Pacific Northwest hops, creating a sweet and rich springboard for deep nuttiness. Aged in Bourbon Barrels for 8 to 12 months",1,63
283,25,10.5,"Imperial stout w/ cocoa nibs, vanilla beans, cinnamon, and habanero peppers.",1,50
291,30,12.0,This beer is as hairy as a Siberian... or as a panther. And you better believe it because it gets the black magic from mountains of roasted malts and dark candi syrup. During the long weeks in the fermentor it gathers its rage... a rage this mythical beast of an imperial stout wants to unleash on your taste buds,1,33
293,20,9.0,"Imperial stout with pecans, winter spices and vanilla.",1,75
313,90,10.9,Aged for over a year in Willett bourbon barrels previously used to age Mac's Maple syrup for four months.,1,52
318,60,7.5,"This is a meal in a glass. Brewed with 7 different malts and served cask-conditioned, you should be ready for a full onslaught of creamy stout intensity. Broadly in the style of a Foreign Extra Stout, this is our heaviest and most intense year-round offering",1,57
327,80,10.5,"Big, black, and beautiful. La Negra is an oak-aged Russian Imperial Stout, brewed with our British Pale malt, and an enormous amount of roasted malts. A 5 hour boil lends a big burnt sugar and raisin character while the intense bitterness gives the beer an incredible dark chocolate finish. Needless to say, the mouthfeel is what you would expect from one of the biggest beers weÃ¢ÂÂve brewed",1,73
361,70,11.5,"Imperial Stout was invented for Czar Peter the Great. pFriemÃ¢ÂÂs Barrel Aged version soaks an entire year, for roasted malt and cherry notes to make you feel like a monarch yourself",1,63
385,35,14.8,"Witness the firepower of this fully operational Barrel-Aged Imperial Oatmeal Stout. Brewed with English specialty malts and the addition of flaked and malted oats to create a rich, chocolaty profile and silky mouthfeel that cloaks its considerable strength. The American oak barrels continue to build layers of complexity, reminiscent of vanilla, toasted coconut and caramel candy after aging this dark menace a full 12 months",1,67
395,35,14.8,A weaponized quantity of freshly roasted whole bean coffee from Dark Matter Coffee imbues our DethÃ¢ÂÂs Tar Barrel-Aged Imperial Oatmeal Stout with assertive coffee aromatics without overshadowing the base beer on the palate. Pair with rich food or enjoy on its own. Keep cold. Enjoy now. We mean it,1,28
481,57,11.8,"Deep, dark intense roasted malt, coffee and chocolate notes resound deeply in this imperial stout.",1,37
482,33,7.0,"Our Blonde Stout Penguin debuted in late 2015, a collaborative effort with the West Coast wizards at Three Weavers Brewing Company in Inglewood, CA. A delectable blend of light and dark styles, Penguin is a seasonal release available in bottles and on draft",1,53
483,55,9.2,"Brewed with baby ginger from Casselmonte Farm and wildflower honey from Bearer Farms, Hardywood Gingerbread Stout captures the terroir of central Virginia in a rich, creamy libation with a velvety mouthfeel and an intriguing evolution of flavors from milk chocolate and vanilla to honeycomb and cinnamon to a snap of ginger in the finish.
Deep, dark chocolate in color with a mahogany tint and a frothy, caramel colored head, Hardywood Gingerbread Stout offers aromatics of holiday spice originating from the ginger, and balanced with a generous dose of whole Madagascar bourbon vanilla beans and Vietnamese cinnamon. Milk sugar (lactose) contributes to the full body of this stout and tames its roasty character, while oats lend a silky quality. Enjoy fresh, or cellar for a special occasion. We hope Hardywood Gingerbread Stout contributes to your merriment this season",1,59
487,55,11.5,"Hardywood Gingerbread Stout, described by BeerAdvocate as Ã¢ÂÂfreaginÃ¢ÂÂ Christmas in a bottle,Ã¢ÂÂ is an imperial milk stout brewed with vanilla beans, cinnamon, fresh Casselmonte Farm baby ginger and Bearer Farms wildflower honey. Gingerbread Stout is then matured in Virginia bourbon barrels, where it adapts an incredibly mellow character with oak, caramel and bourbon undertones, and emerges 12 weeks later as Bourbon GBS. A festive blend of spice character laces this rich, chocolatey stout, which warms the palate and the soul",1,58
488,55,9.3,"Dark chocolate malts with a hint of raspberry finish, like a sweet dessert after a five star dinner out.",1,79
493,55,9.2,Gingerbread Stout (GBS) refermented on maple syrup,1,41
494,55,10.3,"An assertive Imperial Stout aged 12 weeks in bourbon barrels and conditioned on custom roasted Sidamo coffee from Lamplighter Roasting Company, Bourbon Sidamo showcases the signature flavors of whiskey, roasted malt and Ethiopian coffee. This robust stout displays a midnight hue with a caramel head and offers a dark chocolate character laced with hints of blueberry from this unique coffee bean, rounded out by charred White Oak infused by an angelÃ¢ÂÂs share of Kentucky goodness",1,54
495,50,11.5,"A dessert beer to the core, our Raspberry Stout is truly a feat in decadence. Loads of chocolate malt, cacao nibs, and local, late-season red raspberries from Agriberry Farm all contribute to what would best be described as a raspberry truffle in liquid form. After months of patient maturation in freshly emptied bourbon barrels, our Raspberry Stout is finished on Madagascar vanilla beans revealing a confluence of smooth, rich dark chocolate, ripe red raspberries, and real vanilla",1,45
497,65,13.5,"Imperial milk stout aged in apple brandy barrels for eight months for a smooth apple brandy finish. Warm caramel, blackstrap molasses, and chocolate covered cherries",1,43
501,50,14.0,"Foolery is a huge Imperial Stout aged for eight months in bourbon barrels. Massive chocolate, vanilla, and caramel flavors are preceded by aromatic hints of dark cherry, tobacco, leather and oak. Thick and rich, Foolery brings rounded bourbon character contributions from the barrels and a nice warming finish",1,63
521,38,5.5,"Port City Revival Stout is a limited edition beer that we made with oysters from War Shore Oyster Company. Crafted by Head Brewer Jonathan Reeves, this beer is brewed in the British and Irish tradition of oyster stouts.

We steep War ShoreÃ¢ÂÂs Chesapeake Bay oyster shells in the brewing water to add mineral content and then add the oysters and their liquor to the brew during the boil. The oysters add a subtle whiff of a sea breeze, a slight briny character and a smooth textural element to the beer.

Revival Stout is available on draft only, in Port CityÃ¢ÂÂs Tasting Room, and on tap at select oyster houses, restaurants and bars in DC, Maryland and Virginia. Additionally, five percent of the sales of Revival Stout will be donated to the Oyster Recovery Partnership to support their efforts to revive the oyster population in the Chesapeake Bay and its tributaries",1,79
2697,14,11.0,Greek god of love and desire. He is a decadent imperial stout with note of chocolate and cream conditione,1,35
2698,48,12.0,Stout - American,1,63
2699,55,8.2,"Chocolate, Peanut Butter & C",1,69
2700,28,6.4,Stout - American,1,60
2701,13,13.9,Stout - American,1,37
2702,65,8.2,Stout - American,1,57
2703,20,8.2,The Chocolate Stout is the basis for this new addition to the tap wall. Very tasty peanut but,1,59
2704,50,7.0,"Horchata stout - brewed with Almond tea, cinnamon sticks and Madagascar van",1,45
2705,14,11.0,"Greek god of love/desire, notes of chocolate and cream conditioned on Oreos and Reeseâs Peanut B",1,46
2706,60,8.0,Stout - American,1,55
2707,50,12.0,Stout - Coffee,1,63
2708,40,15.0,Stout - Coffee,1,56
2709,60,10.0,Stout - Coffee,1,43
2710,30,6.9,Stout - English,1,69
2711,50,5.3,Stout - English,1,52
2712,30,7.2,"A full English. A full monty. It can be called whatever, but itâs somehow become a measuring
stick for what breakfast should be. Anytime I can start a day with sausage, bacon, baked beans,
tomatoes, fried bread, and eggs, Iâm in. The only thing missing is a beer to compliment it all, and
that was the dream for this concept. Rich and robust, with a bit of bitterness from English
Breakfast tea, and another excuse to have a beer before noon. Read Less",1,77
2713,20,6.0,Stout - English,1,72
2714,38,5.5,Stout - English,1,37
2715,19,6.0,A highly roasted dark ale with a big roasted chocol,1,26
2716,23,5.4,Stout - English,1,78
2717,65,5.8,"Dry Irish style stout, with a bacground of cocoa or chocolate. Good flavor, not as full bodied as some, but a nice I",1,62
2718,20,4.5,Classic English-style stout with Maris Otter malt and Whitb,1,40
2719,28,6.6,Smooth British-style stout with notes of chocolate and raisi,1,76
2720,30,5.0,Stout - English,1,62
2721,41,4.5,Stout - English,1,25
2722,50,6.0,"English stout with dark chocolate, caramel, and coffee notes balanced by subtle and e",1,44
2723,42,6.5,Stout - English,1,32
2724,27,5.4,Stout - English,1,41
2725,26,5.6,Stout - English,1,37
2726,35,5.0,Stout - English,1,75
2727,27,5.5,Stout - English,1,25
2728,25,8.3,"Pre-barrel base in March 2014 (with dates). Pre-release post- barrel taste @ KLCC Fest 2/7/15. Official release date 3/14/2015. Hellshire V is a hearty Export-style Stout aged for 9 months in freshly emptied Knob Creek bourbon barrels. Soft vanilla and cocoa notes intertwine with oak, bourbon, and the beerâs complex malt flavors. Weâve aged it for enjoyment now, or cellar it dry and cool for a few. Cheers! Matt Van Wyk, Brewmaster. Read Less",1,51
2729,60,9.5,Stout - Foreign / Export,1,65
2730,50,7.0,Barrel Aged In Templeton Rye Whisk,1,72
2731,43,10.6,"Midnight Snark is an export stout with notes of caramel, coffee and cocoa with a medium dry finish. Aged more than 4 months in its Bourbon barrel prison, the beer fostered a bold spirit finish with dominate notes of vanilla and cocoa. Roasty and smooth with a haunting of oak and bourbon flavors, the unique nature of this beer means it will continue to develop and age over time. The Midnight Snark is best sought out when the autumn chill encroaches and the nights grow eerily long. Read Less",1,78
2732,40,8.0,Stout - Foreign / Export,1,74
2733,27,7.2,We've added 20 lbs. of our Starter Coffee to our Tropical Stout - Dead Blow. A beer wort,1,33
2734,65,10.0,Stout - Foreign / Export,1,47
2735,30,7.9,Stout - Foreign / Export,1,37
2736,59,8.0,Stout - Foreign / Export,1,43
2737,30,7.5,Stout - Foreign / Export,1,79
2738,58,7.0,Stout - Foreign / Export,1,41
2739,30,6.5,Stout - Foreign / Export,1,68
2740,65,10.8,Export curry stout aged 10 months in Heaven Hills Bourb,1,43
2741,18,9.0,Stout - Foreign / Export,1,52
2742,60,7.5,Stout - Foreign / Export,1,49
2743,21,10.4,Stout - Foreign / Export,1,61
2744,60,7.5,Stout - Foreign / Export,1,54
2745,50,8.6,Stout - Foreign / Export,1,69
2746,25,10.9,"Our bourbon barrel aged Scottish stout, Corruption, aged again in ex-maple sy",1,70
2747,39,8.7,Stout - Foreign / Export,1,62
2748,58,8.0,Mocha coffee peppe,1,66
2749,38,8.2,Stout - Foreign / Export,1,66
2750,31,8.5,Stout - Foreign / Export,1,78
2751,55,7.2,Stout - Foreign / Export,1,27
2752,45,9.0,Stout - Foreign / Export,1,55
2753,35,7.5,Stout - Foreign / Export,1,62
